Trial	Subject	Color	Stimulus	Start Time [ms]	End Time [ms]	Fixation Start [ms]	Fixation Duration [ms]	Fixation End [ms]	Position X	Position Y	Average Pupil Size [px] X	Average Pupil Size [px] Y	Average Pupil Diameter [mm]	Dispersion X	Dispersion Y	Eye	Number
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	0	399	399	718.1	294.9	135.5	81.2	5.3	5.0	6.0	Binocular	1
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	565	232	798	666.3	548.7	71.6	34.1	0.0	5.0	12.0	Binocular	2
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	931	66	998	844.5	498.3	66.5	35.0	1.3	4.0	4.0	Binocular	3
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	1230	266	1497	716.6	263.9	129.3	82.7	4.8	11.0	45.0	Binocular	4
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	1797	132	1930	702.1	232.7	138.9	92.3	5.4	3.0	12.0	Binocular	5
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	2828	166	2994	184.0	69.4	120.0	85.8	4.5	27.0	24.0	Binocular	6
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	4325	166	4492	659.8	283.9	114.6	73.0	4.4	8.0	3.0	Binocular	7
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	4591	66	4658	844.4	307.9	113.8	68.3	4.3	3.0	0.0	Binocular	8
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	4758	199	4957	698.4	315.4	121.7	71.3	4.7	2.0	14.0	Binocular	9
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	5057	133	5190	705.6	240.5	116.8	80.6	4.5	4.0	3.0	Binocular	10
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	5257	166	5423	677.9	337.4	121.5	68.3	4.7	5.0	9.0	Binocular	11
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	5623	166	5790	692.7	296.2	119.1	73.2	4.5	5.0	15.0	Binocular	12
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	5889	233	6122	606.6	53.4	87.6	65.1	2.5	73.0	83.0	Binocular	13
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	6289	300	6589	682.9	463.7	60.6	34.5	0.0	74.0	45.0	Binocular	14
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	6688	332	7020	670.2	350.2	118.6	64.6	4.5	29.0	59.0	Binocular	15
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	7153	99	7253	383.7	241.3	110.8	75.7	4.2	9.0	5.0	Binocular	16
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	7353	332	7686	461.8	267.5	110.6	70.3	4.4	41.0	19.0	Binocular	17
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	7752	133	7886	481.8	285.3	75.4	42.3	4.5	19.0	48.0	Binocular	18
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	7986	132	8118	216.7	-128.9	112.4	90.5	4.0	122.0	66.0	Binocular	19
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	8252	366	8618	493.8	-54.0	111.9	87.8	4.0	26.0	44.0	Binocular	20
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	8684	99	8784	472.1	-21.5	117.0	94.8	4.2	4.0	2.0	Binocular	21
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	8917	99	9017	471.0	-14.3	118.8	95.3	4.2	0.0	0.0	Binocular	22
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	9117	99	9217	461.3	-6.0	119.5	95.7	4.3	14.0	32.0	Binocular	23
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	9549	200	9749	702.6	515.9	65.4	32.9	0.0	41.0	50.0	Binocular	24
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	9816	166	9982	657.2	549.7	62.9	30.3	0.0	65.0	151.0	Binocular	25
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	10082	232	10315	657.3	350.6	110.9	60.3	4.0	7.0	7.0	Binocular	26
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	10381	99	10481	666.5	333.7	98.2	52.7	4.5	2.0	3.0	Binocular	27
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	10581	133	10714	682.3	329.8	121.4	68.8	4.6	3.0	1.0	Binocular	28
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	11646	599	12245	605.6	285.7	106.9	65.8	4.4	17.0	10.0	Binocular	29
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	12477	465	12943	627.9	283.9	107.8	66.3	4.4	12.0	17.0	Binocular	30
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	13077	366	13443	692.8	-67.1	106.5	78.4	3.7	33.0	150.0	Binocular	31
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	13509	200	13709	694.8	-1.3	112.4	89.8	4.0	4.0	6.0	Binocular	32
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	13842	99	13942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Binocular	33
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	14074	200	14275	668.6	392.3	109.4	57.7	3.6	57.0	67.0	Binocular	34
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	14341	101	14443	640.4	424.7	64.0	39.5	1.3	6.0	11.0	Binocular	35
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	14507	99	14607	682.9	393.0	104.5	55.5	3.6	52.0	56.0	Binocular	36
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	14777	102	14880	287.1	-16.0	85.8	69.8	2.7	72.0	35.0	Binocular	37
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	15372	66	15439	33.1	-123.5	102.3	84.5	3.7	22.0	8.0	Binocular	38
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	16437	233	16671	867.6	162.1	117.0	90.1	4.6	150.0	19.0	Binocular	39
Trial001	ss03	Coral	ss03-1-recording.avi	0	4131174	16737	465	17202	727.5	75.6	120.6	92.7	4.4	57.0	15.0	Binocular	40
